Model.name,Eval.metric,Testing.data,Evaluating.data,Cutoff,Sensitivity,Specificity,sps
GAM_RUN3_PA2,TSS,0.737,NA,76,93.333,80.333,Acla
GAM_RUN3_PA2,ROC,0.901,NA,82.5,93.333,81.333,Acla
GAM_RUN3_PA2,FAR,0.615,NA,818,71.111,93.333,Acla
GAM_RUN3_PA2,ACCURACY,0.904,NA,813.5,71.111,93.333,Acla
GAM_RUN3_PA2,SR,0.615,NA,818,71.111,93.333,Acla
MAXENT.Phillips_RUN4_PA2,TSS,0.778,NA,374,84.444,93.333,Acla
MAXENT.Phillips_RUN4_PA2,ROC,0.905,NA,371,84.444,93.333,Acla
MAXENT.Phillips_RUN4_PA2,FAR,0.765,NA,879,57.778,97.333,Acla
MAXENT.Phillips_RUN4_PA2,ACCURACY,0.93,NA,444,82.222,94.667,Acla
MAXENT.Phillips_RUN4_PA2,SR,0.765,NA,879,57.778,97.333,Acla
GLM_RUN4_PA2,TSS,0.793,NA,736,86.667,92.667,Acla
GLM_RUN4_PA2,ROC,0.955,NA,740,86.667,92.667,Acla
GLM_RUN4_PA2,FAR,0.765,NA,946,28.889,98.667,Acla
GLM_RUN4_PA2,ACCURACY,0.936,NA,850,80,95.667,Acla
GLM_RUN4_PA2,SR,0.765,NA,946,28.889,98.667,Acla
ANN_RUN4_PA2,TSS,0.818,NA,525,91.111,90.667,Acla
ANN_RUN4_PA2,ROC,0.944,NA,526.5,91.111,90.667,Acla
ANN_RUN4_PA2,FAR,0.7,NA,838,77.778,95,Acla
ANN_RUN4_PA2,ACCURACY,0.928,NA,820,80,94.667,Acla
ANN_RUN4_PA2,SR,0.7,NA,838,77.778,95,Acla
RF_RUN4_PA2,TSS,0.867,NA,264,93.333,93.333,Acla
RF_RUN4_PA2,ROC,0.973,NA,268,93.333,93.333,Acla
RF_RUN4_PA2,FAR,0.92,NA,990,53.333,99.333,Acla
RF_RUN4_PA2,ACCURACY,0.945,NA,821,71.111,97.333,Acla
RF_RUN4_PA2,SR,0.92,NA,990,53.333,99.333,Acla
GAM_RUN4_PA2,TSS,0.841,NA,132,97.778,86.333,Acla
GAM_RUN4_PA2,ROC,0.962,NA,134,97.778,86.333,Acla
GAM_RUN4_PA2,FAR,0.8,NA,958,53.333,98,Acla
GAM_RUN4_PA2,ACCURACY,0.936,NA,938,68.889,97.333,Acla
GAM_RUN4_PA2,SR,0.8,NA,958,53.333,98,Acla
MAXENT.Phillips_RUN5_PA2,TSS,0.823,NA,126,93.333,89,Acla
MAXENT.Phillips_RUN5_PA2,ROC,0.95,NA,125.5,93.333,89,Acla
MAXENT.Phillips_RUN5_PA2,FAR,0.84,NA,914,46.667,98.667,Acla
MAXENT.Phillips_RUN5_PA2,ACCURACY,0.945,NA,434,80,96.667,Acla
MAXENT.Phillips_RUN5_PA2,SR,0.84,NA,914,46.667,98.667,Acla
GLM_RUN5_PA2,TSS,0.838,NA,769.5,91.111,92.667,Acla
GLM_RUN5_PA2,ROC,0.963,NA,770.5,91.111,92.667,Acla
GLM_RUN5_PA2,FAR,1,NA,955,26.667,99.333,Acla
GLM_RUN5_PA2,ACCURACY,0.936,NA,879,77.778,96,Acla
GLM_RUN5_PA2,SR,1,NA,955,26.667,99.333,Acla
ANN_RUN5_PA2,TSS,0.638,NA,675.5,77.778,86,Acla
ANN_RUN5_PA2,ROC,0.886,NA,674.5,77.778,86,Acla
ANN_RUN5_PA2,FAR,1,NA,917,8.889,100,Acla
ANN_RUN5_PA2,ACCURACY,0.887,NA,851.5,60,93,Acla
ANN_RUN5_PA2,SR,1,NA,917,8.889,100,Acla
RF_RUN5_PA2,TSS,0.857,NA,175,93.333,92,Acla
RF_RUN5_PA2,ROC,0.973,NA,179,93.333,92.333,Acla
RF_RUN5_PA2,FAR,0.846,NA,990,48.889,98.667,Acla
RF_RUN5_PA2,ACCURACY,0.954,NA,707,80,97.667,Acla
